id1,id2
1,2220
1,1081
1,922
5,7340
8,4574
9,1669
10,8601
11,4891
11,2220
11,2460
11,1135
11,7659
11,6615
11,6837
11,5955
11,546
11,2001
11,4608
11,4107
11,8058
11,2034
11,7466
11,806
11,8087
11,9598
11,8252
11,62
11,2348
11,8906
11,7318
11,5959
11,8445
11,9569
11,6366
11,8357
11,686
11,8742
11,1495
11,7946
11,1827
11,1
11,8585
11,6620
11,5402
11,9014
11,3189
11,5293
11,769
11,8567
11,1359
11,3909
11,3837
11,8466
11,6385
11,5282
11,5349
11,6009
11,4227
11,378
11,9033
11,8998
11,5405
11,2418
11,9478
11,606
11,4060
11,1844
11,5838
11,9119
11,7469
11,1467
11,8739
11,2868
11,4318
11,6411
11,6700
11,6110
11,7492
11,6016
11,6589
11,4360
11,4058
11,8232
11,2026
11,9681
11,820
11,8097
11,7169
11,5882
11,1302
11,9017
11,7074
11,3972
11,1781
11,5062
11,4522
11,6327
11,9730
11,4768
11,5573
11,8371
11,765
11,129
11,2317
11,5887
11,7611
11,7862
11,9452
11,9680
11,6228
11,1727
11,9388
11,4854
11,6409
11,9264
11,576
11,392
11,1942
11,4325
11,6083
11,6373
11,2466
11,3454
11,4252
11,9992
11,6192
11,2160
11,9455
15,5303
15,2906
17,2220
17,4040
17,9350
21,2360
21,9037
21,6438
22,2715
22,9242
22,911
23,5772
23,9867
23,6423
24,7438
24,1480
30,9236
30,7892
30,4113
37,9402
39,5082
39,9159
43,8843
45,7014
45,1388
47,4066
47,2297
47,4435
47,9345
48,8180
49,299
50,8983
50,842
50,6596
50,1839
50,3189
50,4590
50,976
50,481
55,4798
56,8459
56,5439
56,6848
56,5425
56,887
57,3909
60,1956
60,9929
60,1880
60,3636
60,7344
60,4636
60,9743
60,1631
60,923
60,1347
63,1426
67,9289
68,6269
73,9228
73,4703
73,4835
73,678
76,680
76,6496
80,9243
81,7184
81,5146
81,5972
81,3813
81,6985
81,3402
81,2399
81,3720
81,4855
81,7280
81,4841
81,9961
81,1122
83,6271
83,2237
83,1759
83,7039
83,9680
83,1334
83,3499
83,9701
83,7477
83,9049
83,9457
83,7703
83,5635
83,9513
83,885
83,6398
83,3275
84,9433
85,47
85,790
85,3784
85,6441
85,9854
85,2129
85,4536
85,1259
85,6347
85,8269
85,5707
85,5649
85,8330
85,7716
85,9693
85,94
85,3484
85,4323
85,6144
85,4389
85,7101
85,8540
85,3948
85,1038
85,9236
85,5916
85,718
85,6282
85,7596
85,3613
85,4232
85,2637
85,131
85,8846
85,6733
85,5399
85,5899
85,5875
85,7490
85,10000
85,9639
85,3040
85,2520
85,2030
85,4705
85,7076
85,8466
85,7984
85,4321
85,4468
85,1647
85,9671
85,643
85,9951
85,9778
85,8853
85,4180
85,1457
85,8137
85,4225
85,9442
85,543
85,9202
85,170
85,7471
85,8122
85,6264
85,1490
85,6043
85,9925
85,8298
85,9324
85,4776
85,3365
85,4148
85,2997
85,5956
85,9976
85,5072
85,6690
85,1529
85,7188
85,518
85,2611
85,9934
85,8727
85,6650
85,7181
85,3535
85,9050
85,82
86,6338
87,4878
87,970
87,7431
88,3712
90,1956
90,5048
90,6938
90,7820
90,3437
90,1852
92,887
97,1827
97,9806
97,4556
97,2781
100,3209
101,3502
101,572
101,7749
103,1876
103,7071
104,8991
104,8001
104,5787
104,1308
109,6023
109,3012
110,3969
110,7602
111,3286
111,1862
111,3618
111,3189
111,3576
111,9698
111,3312
111,1754
111,4415
111,9961
111,8224
111,967
111,7205
111,976
111,7452
111,3585
111,1957
111,3991
111,1730
111,9227
113,7043
116,9651
116,1966
116,8893
116,7187
116,6015
116,6717
116,6089
116,6999
116,7659
116,7347
116,8872
116,2230
116,8019
116,4922
116,8511
116,2034
116,9569
116,6455
116,2085
116,1008
116,4560
116,5555
116,4998
116,1588
116,917
116,735
116,6773
116,1089
116,6795
116,5659
116,5288
116,6058
116,6966
116,6204
116,2982
116,4056
116,5256
116,3393
116,2400
116,270
116,9329
116,5296
116,7728
116,1084
116,1603
116,939
116,452
116,1719
116,2200
116,363
116,739
116,2249
116,5021
116,8956
116,4696
116,1063
116,2470
116,3051
116,2829
116,3945
116,2660
116,9616
116,718
116,6613
116,7784
116,8392
116,6385
116,472
116,483
116,7700
116,6259
116,1362
116,5851
116,7361
116,9281
116,6131
116,53
116,7616
116,561
116,6753
116,3098
116,3040
116,3553
116,77
116,8898
116,9952
116,9388
116,2923
116,7633
116,450
116,281
116,6213
116,5584
116,1996
116,5283
116,4550
116,3234
116,1846
116,3522
116,4122
116,1557
116,1736
116,4573
116,1408
116,539
116,9416
116,5942
116,8369
116,6002
116,1142
116,6110
116,8914
116,4645
116,3859
116,9861
116,5953
116,2301
116,8582
116,9508
116,3440
116,1046
116,5215
116,2675
116,3623
116,2795
116,5911
116,826
116,4869
116,9128
116,2124
116,1651
116,106
116,6695
116,2611
116,5674
116,9086
116,1302
116,1254
116,208
116,1558
116,5417
116,1388
116,7163
116,691
116,3633
116,306
116,2868
116,4660
116,7436
116,7076
116,2055
116,7701
116,3463
116,9410
116,6014
116,5302
116,9204
116,6359
116,3254
116,7596
116,1324
116,5169
116,7960
116,3081
116,5791
116,2749
116,4638
116,7901
116,1081
116,4990
116,6793
116,6050
116,9534
116,3626
116,1783
116,3333
117,2195
117,4608
117,3692
117,9181
117,7305
117,1789
117,9929
117,8533
117,6190
117,1615
117,2999
117,4325
117,4280
117,8385
117,7455
117,1569
117,7222
117,5715
117,1853
117,9264
117,6913
117,5417
117,2716
117,2478
117,3559
117,6599
117,4244
117,7951
117,9806
117,7837
117,9145
117,4072
117,5991
117,2255
117,5426
117,1346
117,9359
117,3794
118,468
118,2353
118,8110
118,3262
123,4244
124,6990
124,3396
129,5172
129,2760
129,3476
129,7069
130,1027
131,6088
132,7056
132,4372
132,6019
132,2476
132,6850
132,949
132,9770
132,2721
132,9433
135,6009
136,6817
137,1694
137,6787
137,3768
137,1889
139,9097
139,1264
142,5847
148,9757
148,9492
148,7246
148,9242
148,6251
152,7349
152,6717
152,6089
152,2431
152,5955
152,9854
152,2230
152,7943
152,7233
152,2505
152,6318
152,7318
152,4536
152,2122
152,8669
152,3691
152,3746
152,9241
152,1422
152,8329
152,2779
152,7666
152,3567
152,5854
152,425
152,9608
152,7748
152,4581
152,8742
152,4383
152,7347
152,812
152,8307
152,6373
152,5869
152,5242
152,8257
152,7539
152,3982
152,4173
152,657
152,8255
152,5002
152,8481
152,5829
152,3595
152,7852
152,4839
152,2832
152,1239
152,3588
152,9573
152,2408
152,9264
152,5444
152,2715
152,7655
152,5885
152,8999
152,3149
152,3991
152,6873
152,3189
152,7620
152,2177
152,202
152,9511
152,9714
152,6512
152,1052
152,243
152,3198
152,4315
152,8671
152,6611
152,4848
152,1
152,6520
152,7247
152,2868
152,8024
152,9939
152,9761
152,2248
152,1942
152,82
152,5655
152,769
152,4615
152,4645
152,2716
152,9790
152,4376
152,4227
152,8668
152,6055
152,491
152,7076
152,8897
152,8261
152,8091
152,5057
152,291
152,8611
152,7083
152,3830
152,8582
152,4264
152,2781
152,3749
152,6869
152,5215
152,170
152,8835
152,798
152,209
152,6083
152,9992
152,3667
152,5773
152,6000
152,7469
152,9586
152,4900
152,6360
152,5778
152,181
155,9677
158,9953
163,6356
163,6305
163,7932
165,3272
167,7956
169,4919
169,2476
169,9391
169,5898
170,2655
170,6425
170,4004
170,6710
170,2120
179,3492
180,2957
180,3101
180,3292
180,7185
183,2840
183,5773
183,7105
184,3590
184,2755
184,4291
184,1840
184,819
184,5315
184,1356
184,163
184,372
184,1754
184,630
184,2775
184,9343
184,6813
184,6596
184,2239
184,6561
184,1918
184,6932
184,8625
184,7309
184,887
184,8395
184,965
184,8301
184,9882
184,9358
184,7715
184,7417
184,4025
184,4100
184,4013
186,3677
188,5844
188,843
188,7
189,3712
192,7078
193,9184
194,9175
194,7323
195,2723
195,3620
196,2713
196,5461
196,283
196,5190
196,2276
196,497
196,4585
196,1034
196,7526
196,4325
196,60
196,8440
196,3043
196,9834
196,911
196,3417
196,5967
196,5059
196,2274
196,2457
196,6022
196,6512
196,9690
196,8930
196,5953
196,921
196,17
196,1650
196,3879
196,40
196,7148
196,4370
196,51
196,6634
196,5502
196,3613
196,8173
196,592
196,5948
197,1789
197,916
197,9099
197,6691
197,511
197,4307
197,6699
197,2877
197,2308
197,598
197,3325
197,8298
197,9145
197,1795
197,789
197,690
197,8037
197,9989
197,4014
203,7524
203,6204
203,939
